"projectID";"topic";"title"
"101134833";"HORIZON-EIE-2023-CONNECT-01-02";"Preparatory action for setting up joint programmes among innovation ecosystems actors"
"101114273";"HORIZON-EIE-2022-SCALEUP-02-02";"Women TechEU"
"101113998";"HORIZON-EIE-2022-SCALEUP-02-02";"Women TechEU"
"101096680";"HORIZON-EIE-2022-CONNECT-01-02";"Integration of social innovation actors in innovation ecosystems"
"101113944";"HORIZON-EIE-2022-SCALEUP-02-02";"Women TechEU"
"101114470";"HORIZON-EIE-2022-SCALEUP-02-02";"Women TechEU"
"101113845";"HORIZON-EIE-2022-SCALEUP-02-02";"Women TechEU"
"101113597";"HORIZON-EIE-2022-SCALEUP-02-02";"Women TechEU"
"101114180";"HORIZON-EIE-2022-SCALEUP-02-02";"Women TechEU"
"101113791";"HORIZON-EIE-2022-SCALEUP-02-02";"Women TechEU"
"101114443";"HORIZON-EIE-2022-SCALEUP-02-02";"Women TechEU"
"101113800";"HORIZON-EIE-2022-SCALEUP-02-02";"Women TechEU"
"101113560";"HORIZON-EIE-2022-SCALEUP-02-02";"Women TechEU"
"101071451";"HORIZON-EIE-2021-SCALEUP-01-03";"Women TechEU"
"101114467";"HORIZON-EIE-2022-SCALEUP-02-02";"Women TechEU"
"101072239";"HORIZON-EIE-2021-SCALEUP-01-03";"Women TechEU"
"101114117";"HORIZON-EIE-2022-SCALEUP-02-02";"Women TechEU"
"101114316";"HORIZON-EIE-2022-SCALEUP-02-02";"Women TechEU"
"101114399";"HORIZON-EIE-2022-SCALEUP-02-02";"Women TechEU"
"101114190";"HORIZON-EIE-2022-SCALEUP-02-02";"Women TechEU"
"101071868";"HORIZON-EIE-2021-SCALEUP-01-03";"Women TechEU"
"101113647";"HORIZON-EIE-2022-SCALEUP-02-02";"Women TechEU"
"101071507";"HORIZON-EIE-2021-SCALEUP-01-03";"Women TechEU"
"101113895";"HORIZON-EIE-2022-SCALEUP-02-02";"Women TechEU"
"101114238";"HORIZON-EIE-2022-SCALEUP-02-01";"Expanding Investments Ecosystems"
"101121171";"HORIZON-CL3-2022-SSRI-01-03";"Stronger grounds for pre-commercial procurement of innovative security technologies"
